#M log_10_prob bin hits hits/sum_hits
#sir_exec simple-sample --graph-type Sw 0.1 -n 3200 --samples 10000000 --transmission 0.1 -j24
0.044375 -3.1938193311443857e0 142 2 2.00000320000512e-7
0.0446875 -inf 143 0 0e0
0.045 -inf 144 0 0e0
0.0453125 -inf 145 0 0e0
0.045625 -3.494849326808367e0 146 1 1.00000160000256e-7
0.0459375 -inf 147 0 0e0
0.04625 -inf 148 0 0e0
0.0465625 -3.494849326808367e0 149 1 1.00000160000256e-7
0.046875 -inf 150 0 0e0
0.0471875 -inf 151 0 0e0
0.0475 -inf 152 0 0e0
0.0478125 -inf 153 0 0e0
0.048125 -inf 154 0 0e0
0.0484375 -inf 155 0 0e0
0.04875 -inf 156 0 0e0
0.0490625 -3.494849326808367e0 157 1 1.00000160000256e-7
0.049375 -inf 158 0 0e0
0.0496875 -inf 159 0 0e0
0.05 -inf 160 0 0e0
0.0503125 -inf 161 0 0e0
0.050625 -inf 162 0 0e0
0.050937500000000004 -inf 163 0 0e0
0.051250000000000004 -inf 164 0 0e0
0.051562500000000004 -inf 165 0 0e0
0.051875000000000004 -inf 166 0 0e0
0.0521875 -inf 167 0 0e0
0.0525 -inf 168 0 0e0
0.0528125 -inf 169 0 0e0
0.053125 -inf 170 0 0e0
0.0534375 -inf 171 0 0e0
0.05375 -inf 172 0 0e0
0.0540625 -inf 173 0 0e0
0.054375 -inf 174 0 0e0
0.0546875 -inf 175 0 0e0
0.055 -inf 176 0 0e0
0.0553125 -inf 177 0 0e0
0.055625 -inf 178 0 0e0
0.0559375 -inf 179 0 0e0
0.05625 -inf 180 0 0e0
0.0565625 -inf 181 0 0e0
0.056875 -inf 182 0 0e0
0.0571875 -inf 183 0 0e0
0.0575 -inf 184 0 0e0
0.0578125 -inf 185 0 0e0
0.058125 -inf 186 0 0e0
0.0584375 -inf 187 0 0e0
0.058750000000000004 -inf 188 0 0e0
0.059062500000000004 -inf 189 0 0e0
0.059375000000000004 -inf 190 0 0e0
0.059687500000000004 -inf 191 0 0e0
0.06 -inf 192 0 0e0
0.0603125 -inf 193 0 0e0
0.060625 -inf 194 0 0e0
0.0609375 -inf 195 0 0e0
0.06125 -inf 196 0 0e0
0.0615625 -inf 197 0 0e0
0.061875 -inf 198 0 0e0
0.0621875 -inf 199 0 0e0
0.0625 -inf 200 0 0e0
0.06281250000000001 -inf 201 0 0e0
0.063125 -inf 202 0 0e0
0.06343750000000001 -inf 203 0 0e0
0.06375 -inf 204 0 0e0
0.0640625 -inf 205 0 0e0
0.064375 -inf 206 0 0e0
0.0646875 -inf 207 0 0e0
0.065 -inf 208 0 0e0
0.0653125 -inf 209 0 0e0
0.065625 -inf 210 0 0e0
0.0659375 -inf 211 0 0e0
0.06625 -inf 212 0 0e0
0.0665625 -inf 213 0 0e0
0.066875 -inf 214 0 0e0
0.0671875 -inf 215 0 0e0
0.0675 -inf 216 0 0e0
0.0678125 -inf 217 0 0e0
0.068125 -inf 218 0 0e0
0.0684375 -inf 219 0 0e0
0.06875 -inf 220 0 0e0
0.0690625 -inf 221 0 0e0
0.069375 -inf 222 0 0e0
0.0696875 -inf 223 0 0e0
0.07 -inf 224 0 0e0
0.0703125 -inf 225 0 0e0
0.07062500000000001 -inf 226 0 0e0
0.0709375 -inf 227 0 0e0
0.07125000000000001 -inf 228 0 0e0
0.0715625 -inf 229 0 0e0
0.07187500000000001 -inf 230 0 0e0
0.0721875 -inf 231 0 0e0
0.0725 -inf 232 0 0e0
0.0728125 -inf 233 0 0e0
0.073125 -inf 234 0 0e0
0.0734375 -inf 235 0 0e0
0.07375 -inf 236 0 0e0
0.0740625 -inf 237 0 0e0
0.074375 -inf 238 0 0e0
0.0746875 -inf 239 0 0e0
0.075 -inf 240 0 0e0
0.0753125 -inf 241 0 0e0
0.075625 -inf 242 0 0e0
0.0759375 -inf 243 0 0e0
0.07625 -inf 244 0 0e0
0.0765625 -inf 245 0 0e0
0.076875 -inf 246 0 0e0
0.0771875 -inf 247 0 0e0
0.0775 -inf 248 0 0e0
0.0778125 -inf 249 0 0e0
0.078125 -inf 250 0 0e0
0.07843750000000001 -inf 251 0 0e0
0.07875 -inf 252 0 0e0
0.07906250000000001 -inf 253 0 0e0
0.079375 -inf 254 0 0e0
0.07968750000000001 -inf 255 0 0e0
0.08 -inf 256 0 0e0
0.0803125 -inf 257 0 0e0
0.080625 -inf 258 0 0e0
0.0809375 -inf 259 0 0e0
0.08125 -inf 260 0 0e0
0.0815625 -inf 261 0 0e0
0.081875 -inf 262 0 0e0
0.0821875 -inf 263 0 0e0
0.0825 -inf 264 0 0e0
0.0828125 -inf 265 0 0e0
0.083125 -inf 266 0 0e0
0.0834375 -inf 267 0 0e0
0.08375 -inf 268 0 0e0
0.0840625 -inf 269 0 0e0
0.084375 -inf 270 0 0e0
0.0846875 -inf 271 0 0e0
0.085 -inf 272 0 0e0
0.0853125 -inf 273 0 0e0
0.085625 -inf 274 0 0e0
0.0859375 -inf 275 0 0e0
0.08625000000000001 -inf 276 0 0e0
0.0865625 -inf 277 0 0e0
0.08687500000000001 -inf 278 0 0e0
0.0871875 -inf 279 0 0e0
0.08750000000000001 -inf 280 0 0e0
0.0878125 -inf 281 0 0e0
0.088125 -inf 282 0 0e0
0.0884375 -inf 283 0 0e0
0.08875 -inf 284 0 0e0
0.0890625 -inf 285 0 0e0
0.089375 -inf 286 0 0e0
0.0896875 -inf 287 0 0e0
0.09 -inf 288 0 0e0
0.0903125 -inf 289 0 0e0
0.090625 -inf 290 0 0e0
0.0909375 -inf 291 0 0e0
0.09125 -inf 292 0 0e0
0.0915625 -inf 293 0 0e0
0.091875 -inf 294 0 0e0
0.0921875 -inf 295 0 0e0
0.0925 -inf 296 0 0e0
0.0928125 -inf 297 0 0e0
0.093125 -inf 298 0 0e0
0.0934375 -inf 299 0 0e0
0.09375 -inf 300 0 0e0
0.09406250000000001 -inf 301 0 0e0
0.094375 -inf 302 0 0e0
0.09468750000000001 -inf 303 0 0e0
0.095 -inf 304 0 0e0
0.09531250000000001 -inf 305 0 0e0
0.095625 -inf 306 0 0e0
0.09593750000000001 -inf 307 0 0e0
0.09625 -inf 308 0 0e0
0.0965625 -inf 309 0 0e0
0.096875 -inf 310 0 0e0
0.0971875 -inf 311 0 0e0
0.0975 -inf 312 0 0e0
0.0978125 -inf 313 0 0e0
0.098125 -inf 314 0 0e0
0.0984375 -inf 315 0 0e0
0.09875 -inf 316 0 0e0
0.0990625 -inf 317 0 0e0
0.099375 -inf 318 0 0e0
0.0996875 -inf 319 0 0e0
0.1 -inf 320 0 0e0
0.1003125 -inf 321 0 0e0
0.100625 -inf 322 0 0e0
0.1009375 -inf 323 0 0e0
0.10125 -inf 324 0 0e0
0.1015625 -inf 325 0 0e0
0.10187500000000001 -inf 326 0 0e0
0.1021875 -inf 327 0 0e0
0.10250000000000001 -inf 328 0 0e0
